time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523318733703,2018-04-10T00:05:33.703000Z,1012.2687390214122,-76,324,956,3013,20,1012.06,29.07,C2:9A:9F:E5:58:27
1523318738743,2018-04-10T00:05:38.743000Z,1015.7558761828552,-72,324,960,3001,20,1011.99,29.07,C2:9A:9F:E5:58:27
1523318744603,2018-04-10T00:05:44.602999Z,1013.5245433634057,-76,316,960,3001,20,1011.91,29.07,C2:9A:9F:E5:58:27
1523318750593,2018-04-10T00:05:50.592999Z,1024.2343481840471,-84,324,968,3001,20,1011.99,29.07,C2:9A:9F:E5:58:27
1523318755943,2018-04-10T00:05:55.943000Z,1018.563694621009,-76,320,964,2995,20,1011.98,29.06,C2:9A:9F:E5:58:27
1523318761483,2018-04-10T00:06:01.483000Z,1019.5371498871436,-72,324,964,3001,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318766633,2018-04-10T00:06:06.632999Z,1016.3542689436592,-80,324,960,3013,20,1011.94,29.07,C2:9A:9F:E5:58:27
1523318772083,2018-04-10T00:06:12.082999Z,1010.0455435276174,-80,316,956,2995,20,1012.01,29.06,C2:9A:9F:E5:58:27
1523318777603,2018-04-10T00:06:17.602999Z,1017.3298383513579,-76,328,960,3013,20,1012.04,29.06,C2:9A:9F:E5:58:27
1523318782703,2018-04-10T00:06:22.703000Z,1010.0455435276174,-80,316,956,3013,20,1011.95,29.06,C2:9A:9F:E5:58:27
1523318787753,2018-04-10T00:06:27.753000Z,1011.9762843070978,-72,324,956,3001,20,1011.98,29.06,C2:9A:9F:E5:58:27
1523318793333,2018-04-10T00:06:33.332999Z,1012.576910659136,-80,324,956,3001,20,1011.97,29.05,C2:9A:9F:E5:58:27
1523318798613,2018-04-10T00:06:38.612999Z,1021.4107890559998,-80,328,964,3001,20,1011.98,29.06,C2:9A:9F:E5:58:27
1523318803963,2018-04-10T00:06:43.963000Z,1017.6207545053314,-80,316,964,3001,20,1012.01,29.06,C2:9A:9F:E5:58:27
1523318809513,2018-04-10T00:06:49.513000Z,1016.3857535404558,-80,312,964,3001,20,1012.03,29.06,C2:9A:9F:E5:58:27
1523318814612,2018-04-10T00:06:54.611999Z,1017.3298383513579,-76,328,960,3001,20,1012.02,29.05,C2:9A:9F:E5:58:27
1523318819623,2018-04-10T00:06:59.622999Z,1014.187359416395,-84,328,956,3001,20,1012.01,29.05,C2:9A:9F:E5:58:27
1523318824683,2018-04-10T00:07:04.683000Z,1008.1983931746767,-72,324,952,3013,20,1011.97,29.05,C2:9A:9F:E5:58:27
1523318830209,2018-04-10T00:07:10.209000Z,1015.7558761828552,-72,324,960,3001,20,1011.95,29.06,C2:9A:9F:E5:58:27
1523318835623,2018-04-10T00:07:15.622999Z,1014.7787936294294,-76,320,960,3013,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318840803,2018-04-10T00:07:20.802999Z,1013.2640327180276,-72,328,956,3001,20,1011.97,29.05,C2:9A:9F:E5:58:27
1523318846353,2018-04-10T00:07:26.352999Z,1014.7787936294294,-76,320,960,3007,20,1011.99,29.05,C2:9A:9F:E5:58:27
1523318851603,2018-04-10T00:07:31.602999Z,1014.7787936294294,-76,320,960,3013,20,1011.98,29.06,C2:9A:9F:E5:58:27
1523318856983,2018-04-10T00:07:36.983000Z,1022.6553671692141,-80,320,968,3001,20,1011.98,29.06,C2:9A:9F:E5:58:27
1523318862523,2018-04-10T00:07:42.523000Z,1016.0472429961119,-76,324,960,3001,20,1011.96,29.05,C2:9A:9F:E5:58:27
1523318868053,2018-04-10T00:07:48.052999Z,1019.1918367020019,-84,320,964,3013,20,1012.03,29.04,C2:9A:9F:E5:58:27
1523318873613,2018-04-10T00:07:53.612999Z,1013.5245433634057,-76,316,960,3013,20,1012.03,29.06,C2:9A:9F:E5:58:27
